Row_Labels,Count_AnimalName
2767052,272
3,491
41865,226
2657,487
4671,1356
11870085,226
5907,969
5107,360
960,311
1885,3455
77203,283
13335037,210
5470,995
7613,896
48855,710
2429135,274
6148028,201
5,376
34,566
7260188,239
2,307
12232938,183
15881,398
6,332
136251,263
968,350
1,275
7624,458
18135,1937
8442457,196
4667024,183
890,373
930,220
10818853,169
865,458
3636,192
100915,474
14050,167
13496,101
19501,185
28187,159
1934,1707
10210,2568
15931,190
4214,264
43641,128
19063,251
4381,507
49041,194
30119,45
256683,178
428263,185
113436,217
11,257
5129,515
1162543,183
37435,125
2956,2277
24178,180
1618,183
22557272,14
119322,287
6185,2498
10917,125
4981,241
18405,409
128029,197
22628,128
11735983,164
375802,224
18490,2618
11588,289
1656001,161
99561,187
227443,193
14935,1969
38709,138
5139,129
1381,1703
157993,1708
7445,92
1845,108
1953,525
7677,176
370493,81
32542,158
1617,109
6442769,178
21787,129
231804,156
6186357,147
1202,124
2998,1350
320,555
5297,2303
13536860,133
17245,2207
5060378,209
11857408,147
7244,39
4137,59
19543,110
7126,1310
6288,181
18710190,153
9418327,48
3473,131
9416,144
24280,1319
10572,202
10441,98
15507958,168
168668,251
6900,172
2187,125
24583,2448
18131,165
7763,126
38447,236
452306,93
7604,370
37442,80
5358,11
7937843,151
1420,1929
234225,241
2612,100
11084145,190
332613,275
2165,666
4395,381
3431,123
8127,1314
3777732,122
62291,175
137791,75
10964,189
12296,1579
9460487,155
6892870,193
18007564,148
5043,255
18143977,139
8664353,16
976,180
17333223,108
1217100,150
2865,169
4374400,130
4989,80
28186,121
5526,111
1582996,125
8852,1732
15241,453
42156,65
23772,72
6310,338
2120932,92
2623,1725
18512,470
49552,675
7736182,72
15745753,103
13497,176
7735333,84
4407,196
149267,195
6400090,95
11125,185
6969,1710
15823480,1492
227463,283
1812457,134
4502507,87
18342,7
7144,1714
6514,246
252577,184
52036,972
168642,223
6304335,119
7171637,103
39988,242
9361589,119
37470,111
24770,98
10664113,115
33,380
12262741,101
472331,90
186074,123
3228917,120
153747,1823
2728527,116
5759,162
301082,109
11486,155
12691,119
16299,474
6411961,208
6339664,91
11505797,85
5326,2380
43763,189
10507293,93
6853,109
6493208,66
23807,187
345627,132
40102,116
6867,155
485894,1316
561456,94
9969571,112
3153910,90
21996,70
13572249,96
11127,270
3609760,20
60748,74
7869,143
249747,163
6487308,97
4406,81
5886881,131
5359,134
228333,84
24213,845
2156,1451
556602,117
43615,213
9712,347
439288,87
17802724,95
1898,101
10592,249
242006,79
8908,137
17212231,235
47281,81
13145,122
10614,197
66559,136
2839,125
30183,97
36072,250
1622,1379
4588,104
11387515,124
233093,99
11235712,92
16160797,48
6068551,96
662,147
49436,67
13023,4
1232,279
7631105,107
4865,353
480479,59
19486412,107
24337,61
3876,343
14891,127
13148,111
21853621,90
6334,159
366522,17
12873,306
18373,163
6952,177
1103,105
22034,259
49750,116
29579,169
15783514,109
30118,32
29056083,95
11614718,108
32499,145
17061,153
12067,114
70401,312
16181775,122
3063499,99
2122,154
19691,117
76620,193
10335308,18
3591262,74
140225,299
295,2573
9520360,69
10644930,145
4948,162
135479,155
2493,1248
7933292,69
39999,178
4900,1369
7812659,117
52529,113
227711,52
10583,198
5203,61
1215032,102
33724,94
6752378,96
14748,71
3412,201
2213661,129
13158800,113
28194,134
4894,128
9791,95
13214,107
15818107,65
8755776,101
13526165,78
10365,69
14497,152
9717,274
16068905,80
4473,138
32234,96
9275658,91
14866,84
2318271,111
228665,94
10916,76
65605,312
2153405,107
13596809,81
6689,182
13137,107
13,32
6280118,129
32929,98
7747374,38
1371,1726
13497818,139
24192,120
4138,54
45978,163
236093,1474
121749,348
16143347,77
11590,211
7745,98
10025305,99
20910157,29
12996,1053
6149,153
3236307,87
78411,126
355697,372
191139,40
16115612,135
7082,221
18254,1787
11149,231
6936382,79
113946,72
5805,72
2203,38
14995,82
119324,55
22232,85
7090447,76
350,130
10176,55
6319,197
21,155
1852,1384
7864437,88
16793,207
33917,93
8667848,99
11297,232
5168,54
6567017,86
1241,69
2282133,93
8520610,86
233818,127
17250,133
50,93
68428,75
51496,1974
7784,40
389627,115
7896527,73
2802316,88
46170,371
3367956,69
343,364
1097,61
3950967,131
22328,143
10799,425
391729,12
10534,1865
11367726,76
4980,112
627206,64
5826,77
1842,118
9375,94
37781,161
33722,99
567795,147
7190,1341
6948436,82
3975774,78
6327,174
40440,137
6479259,71
5996153,76
3478,133
8683812,77
862041,76
16248068,84
119073,428
46799,92
310612,131
92303,728
12127750,65
34497,153
4929,157
28877,191
41804,218
42899,73
7791997,73
6482837,82
9777,168
18079776,63
6469165,68
3869,246
7315573,140
6320534,110
830,80
51738,61
99107,244
9736930,150
102868,1106
2248573,143
56495,149
676924,80
47212,75
50398,122
16101128,102
10920,97
767680,41
42155,43
12220,109
10692,129
20170404,63
18774964,132
18335634,79
1078,210
2784,34
5364,141
1923820,1449
14758,53
659469,44
297673,9
37415,80
41899,123
17851885,129
45032,1208
4069,187
237209,78
14743,104
8492825,8
7069,165
78129,127
2932,558
28862,1654
18122,42
43889,90
6837103,46
5113,125
29059,84
4934,1072
307791,69
7670,122
11566,162
2547,721
15196,37
2866718,67
7967,99
11138,152
29044,141
4953,65
1295,161
3685,1033
656,1017
28676,144
38980,125
7061,108
138398,36
70535,221
11422,63
27523,63
18635016,94
7938275,78
1869,57
1358844,90
233649,71
6534,129
23919,34
561909,83
3590,1235
16735,80
3985,80
4268157,52
34268,1416
24768,78
11275,125
79885,123
49628,113
133518,56
114683,15
9593911,76
17231,95
110494,97
34897,62
7733,1762
12957,805
52357,601
59980,74
24817626,102
1044355,47
8490112,89
17878931,84
12609433,92
386187,76
15717943,53
3008,11
51737,45
84119,280
6527740,63
77767,146
144974,383
629,181
8909,1167
162085,75
231850,58
3109,54
15790842,95
3462,93
107291,135
10987,105
117251,3
10603,143
10956,102
140077,88
32261,918
2175,1682
378,82
7235533,48
140082,90
248704,32
68429,60
25041504,94
10032672,90
59960,71
13152,96
285092,136
15925,88
46756,109
1274,202
33313,78
7669,124
19380,1039
84981,127
10629,156
197084,44
222078,102
13206760,64
69571,185
10637766,65
6101718,67
13615,44
3682,65
256566,107
15769,101
16056408,53
58696,1240
693208,67
117833,586
13642,157
357664,77
5148,82
5349,117
3836,1887
45107,108
8695,162
7740152,82
19321,1
65641,257
2767793,63
68783,49
40173,24
71728,278
8755785,7
310259,54
10567,123
16158542,33
7332,339
5094,164
3407877,119
17690,915
22205,42
14864,65
6314763,69
8921,1717
11468377,106
402045,103
37732,75
15926,115
18775247,111
140075,73
5166,39
420282,57
125507,39
32682,88
1431,229
16071764,66
170210,80
10429045,77
17214,132
12033455,86
10959,239
11260526,14
76778,271
7331435,76
93,771
83763,113
84369,245
5064,2
1326258,77
13372690,60
544891,74
2696,634
42149,43
7664041,119
10357575,107
46787,1075
480204,782
140079,75
2526,231
7905092,92
15812814,63
852470,58
1768603,104
3805,133
88061,83
7672,83
46677,47
5439,83
2767,83
251688,254
6690798,101
2744,112
5664985,41
18693763,62
9328,243
11573,145
16343,876
16304,429
15796700,83
7494,79
233667,154
15731779,76
6289283,70
18293427,79
475339,74
1005,709
8337,132
14201,124
3463,105
12127810,63
2536134,61
3466,85
1067,38
10847,37
11447921,51
9742,62
10569,122
1472878,61
455373,122
2120652,47
18214414,109
43814,111
9118135,49
13539044,75
33507,1691
16181,63
14942,572
13486632,173
10589,134
4687,114
10605,132
54479,1903
53496,65
1430,194
4009,155
13747,64
764347,62
10988,96
13414446,61
12938,1108
12898,139
531350,101
11742691,11
10975,221
76334,45
2880,34
17571564,24
9539,83
33600,101
2233407,67
34084,151
2373,109
101299,183
759611,77
77566,107
5308,233
179780,1
7937462,93
77142,97
546018,102
96358,69
16981,109
43015,68
9822,73
39662,132
114345,14
33926,61
13453029,116
28881,51
6708,153
12868761,2
127455,72
518848,99
5161066,68
15753740,62
12578077,60
8694,142
17167166,55
29800,34
6366437,51
386372,4
6644117,58
256008,57
32145,48
8709527,37
9532,63
6063187,74
375013,134
11337,104
5971165,101
92057,105
23754,68
110737,63
21686,134
188572,301
13006,1129
9938498,57
30289,842
47021,689
13206828,51
341879,66
567616,8
227941,40
30597,1206
5211,79
77727,24
24765,66
58345,452
4134071,63
10929,83
32669,91
30120,24
7821447,39
23955,112
29581,143
6596,82
6614960,7
22917,325
3980,83
16130549,116
4271,138
15760001,61
3206011,44
7770,49
32423,99
821611,298
6224935,71
7108001,62
271199,17
12985,956
6917952,61
5096,11
18302455,89
9673436,73
5479,38
1087204,17
18812405,76
16070903,47
18081809,51
6262365,62
12497,104
6101138,2
6294,75
11570,118
16902,852
28921,170
10766509,91
10746542,110
64863,81
1554,498
5960325,52
5659,1150
15749186,60
9516,39
3087,557
6931356,53
1295102,38
268602,101
5355,112
4502877,1
204042,49
13227454,89
13262783,66
8648,79
24128,1088
402093,120
42900,52
16096824,54
13584236,31
293595,42
6393631,28
5472,51
5161,48
12555,79
402013,67
13538873,88
43448,111
25899336,80
139463,49
22290,87
1625,861
12936,73
902,38
15839976,83
3227063,48
30868,48
15745950,58
17332218,34
301736,148
10967,76
10628,119
126232,109
3867,96
19302,215
2967752,127
2199,40
7091488,59
11989,388
78418,97
13547180,35
305234,62
420297,55
27712,218
13912,59
41681,534
2800905,52
63697,124
92364,144
78433,103
23164983,29
359770,43
17235026,69
77013,134
98573,33
35729,57
29580,146
91477,59
15751404,68
870,37
64216,98
7815,57
80660,98
112537,151
43758,100
53835,836
61535,104
4965,20
32508,130
667,460
10140661,50
8073,28
6643090,65
5598113,73
10909,69
9067850,66
51964,64
32692,112
6427,76
327847,63
21611,98
10585,125
7603,69
944073,82
114955,121
7354,95
22318578,94
18460392,74
231604,95
17402605,85
10964693,78
16527,126
22609317,58
270730,22
17675462,64
547094,26
1736739,87
20588698,71
76865,63
6137154,70
17716,187
43035,1085
4978,105
18116,81
16081272,61
15776309,46
18693716,88
11899,138
15858248,34
4136,42
10584,132
9369720,66
13089710,66
11500217,67
187020,49
13895,56
20820994,71
22283,63
9420,80
5091,105
6202690,14
9418,93
5544,97
6654313,76
3579,40
7588,766
1166599,2
19089,665
13496084,30
5350,118
30,74
13517535,38
425029,110
11597,131
7968243,55
1911,83
17182126,64
766020,75
32829,1363
6398634,73
216363,196
105992,52
90072,3
15645,856
11559200,64
18816603,64
71811,48
872333,47
40024,70
25489625,36
15997,819
6463967,57
11564,115
8621462,138
8253920,39
540020,170
6732019,60
8909152,44
3090465,36
12875258,49
32085,77
